filter_path,filter_components,s4_pos,frequency_mhz,transimpedance_ohm,normalized_db,inside_manual_range
80 m,C89-9 / C89-12,1,12.592375,418.786937,-0.036230706,yes
80 m,C89-9 / C89-12,1,12.594,418.763106,-0.0367249868,yes
80 m,C89-9 / C89-12,1,12.595625,418.739526,-0.0372141024,yes
80 m,C89-9 / C89-12,1,12.59725,418.716195,-0.0376980535,yes
80 m,C89-9 / C89-12,1,12.598875,418.693115,-0.0381768411,yes
80 m,C89-9 / C89-12,1,12.6005,418.670285,-0.0386504661,yes
80 m,C89-9 / C89-12,1,12.602125,418.647706,-0.0391189294,yes
80 m,C89-9 / C89-12,1,12.60375,418.625376,-0.0395822318,yes
80 m,C89-9 / C89-12,1,12.605375,418.603296,-0.0400403743,yes
80 m,C89-9 / C89-12,1,12.607,418.581465,-0.0404933576,yes
80 m,C89-9 / C89-12,1,12.608625,418.559885,-0.0409411827,yes
80 m,C89-9 / C89-12,1,12.61025,418.538554,-0.0413838504,yes
80 m,C89-9 / C89-12,1,12.611875,418.517472,-0.0418213614,yes
80 m,C89-9 / C89-12,1,12.6135,418.496641,-0.0422537167,yes
80 m,C89-9 / C89-12,1,12.615125,418.476058,-0.042680917,yes
80 m,C89-9 / C89-12,1,12.61675,418.455725,-0.0431029632,yes
80 m,C89-9 / C89-12,1,12.618375,418.435641,-0.043519856,yes
80 m,C89-9 / C89-12,1,12.62,418.415806,-0.0439315963,yes
80 m,C89-9 / C89-12,1,12.621625,418.39622,-0.0443381848,yes
80 m,C89-9 / C89-12,1,12.62325,418.376884,-0.0447396223,yes
80 m,C89-9 / C89-12,1,12.624875,418.357796,-0.0451359095,yes
80 m,C89-9 / C89-12,1,12.6265,418.338957,-0.0455270472,yes
80 m,C89-9 / C89-12,1,12.628125,418.320367,-0.0459130362,yes
80 m,C89-9 / C89-12,1,12.62975,418.302026,-0.0462938772,yes
80 m,C89-9 / C89-12,1,12.631375,418.283933,-0.0466695709,yes
80 m,C89-9 / C89-12,1,12.633,418.266089,-0.0470401179,yes
80 m,C89-9 / C89-12,1,12.634625,418.248494,-0.0474055192,yes
80 m,C89-9 / C89-12,1,12.63625,418.231147,-0.0477657753,yes
80 m,C89-9 / C89-12,1,12.637875,418.214049,-0.0481208869,yes
80 m,C89-9 / C89-12,1,12.6395,418.197198,-0.0484708547,yes
80 m,C89-9 / C89-12,1,12.641125,418.180597,-0.0488156795,yes
80 m,C89-9 / C89-12,1,12.64275,418.164243,-0.0491553618,yes
80 m,C89-9 / C89-12,1,12.644375,418.148138,-0.0494899023,yes
80 m,C89-9 / C89-12,1,12.646,418.13228,-0.0498193017,yes
80 m,C89-9 / C89-12,1,12.647625,418.116671,-0.0501435605,yes
80 m,C89-9 / C89-12,1,12.64925,418.10131,-0.0504626796,yes
80 m,C89-9 / C89-12,1,12.650875,418.086196,-0.0507766593,yes
80 m,C89-9 / C89-12,1,12.6525,418.071331,-0.0510855005,yes
80 m,C89-9 / C89-12,1,12.654125,418.056713,-0.0513892036,yes
80 m,C89-9 / C89-12,1,12.65575,418.042343,-0.0516877693,yes
80 m,C89-9 / C89-12,1,12.657375,418.028221,-0.0519811982,yes
80 m,C89-9 / C89-12,1,12.659,418.014347,-0.0522694908,yes
80 m,C89-9 / C89-12,1,12.660625,418.00072,-0.0525526477,yes
80 m,C89-9 / C89-12,1,12.66225,417.98734,-0.0528306695,yes
80 m,C89-9 / C89-12,1,12.663875,417.974208,-0.0531035567,yes
80 m,C89-9 / C89-12,1,12.6655,417.961324,-0.0533713099,yes
80 m,C89-9 / C89-12,1,12.667125,417.948687,-0.0536339296,yes
80 m,C89-9 / C89-12,1,12.66875,417.936298,-0.0538914164,yes
80 m,C89-9 / C89-12,1,12.670375,417.924155,-0.0541437707,yes
80 m,C89-9 / C89-12,1,12.672,417.91226,-0.054390993,yes
80 m,C89-9 / C89-12,1,12.673625,417.900613,-0.0546330839,yes
80 m,C89-9 / C89-12,1,12.67525,417.889212,-0.0548700439,yes
80 m,C89-9 / C89-12,1,12.676875,417.878058,-0.0551018734,yes
80 m,C89-9 / C89-12,1,12.6785,417.867152,-0.055328573,yes
80 m,C89-9 / C89-12,1,12.680125,417.856493,-0.055550143,yes
80 m,C89-9 / C89-12,1,12.68175,417.84608,-0.0557665839,yes
80 m,C89-9 / C89-12,1,12.683375,417.835915,-0.0559778963,yes
80 m,C89-9 / C89-12,1,12.685,417.825997,-0.0561840805,yes
80 m,C89-9 / C89-12,1,12.686625,417.816325,-0.0563851369,yes
80 m,C89-9 / C89-12,1,12.68825,417.806901,-0.056581066,yes
80 m,C89-9 / C89-12,1,12.689875,417.797723,-0.0567718683,yes
80 m,C89-9 / C89-12,1,12.6915,417.788792,-0.056957544,yes
80 m,C89-9 / C89-12,1,12.693125,417.780107,-0.0571380937,yes
80 m,C89-9 / C89-12,1,12.69475,417.77167,-0.0573135176,yes
80 m,C89-9 / C89-12,1,12.696375,417.763479,-0.0574838162,yes
80 m,C89-9 / C89-12,1,12.698,417.755535,-0.0576489899,yes
80 m,C89-9 / C89-12,1,12.699625,417.747837,-0.057809039,yes
80 m,C89-9 / C89-12,1,12.70125,417.740386,-0.0579639638,yes
80 m,C89-9 / C89-12,1,12.702875,417.733181,-0.0581137648,yes
80 m,C89-9 / C89-12,1,12.7045,417.726224,-0.0582584422,yes
80 m,C89-9 / C89-12,1,12.706125,417.719512,-0.0583979964,yes
80 m,C89-9 / C89-12,1,12.70775,417.713047,-0.0585324277,yes
80 m,C89-9 / C89-12,1,12.709375,417.706829,-0.0586617364,yes
80 m,C89-9 / C89-12,1,12.711,417.700856,-0.0587859228,yes
80 m,C89-9 / C89-12,1,12.712625,417.695131,-0.0589049872,yes
80 m,C89-9 / C89-12,1,12.71425,417.689651,-0.0590189299,yes
80 m,C89-9 / C89-12,1,12.715875,417.684418,-0.0591277512,yes
80 m,C89-9 / C89-12,1,12.7175,417.679432,-0.0592314514,yes
80 m,C89-9 / C89-12,1,12.719125,417.674691,-0.0593300306,yes
80 m,C89-9 / C89-12,1,12.72075,417.670197,-0.0594234892,yes
80 m,C89-9 / C89-12,1,12.722375,417.665949,-0.0595118274,yes
80 m,C89-9 / C89-12,1,12.724,417.661948,-0.0595950454,yes
80 m,C89-9 / C89-12,1,12.725625,417.658193,-0.0596731435,yes
80 m,C89-9 / C89-12,1,12.72725,417.654683,-0.0597461218,yes
80 m,C89-9 / C89-12,1,12.728875,417.65142,-0.0598139807,yes
80 m,C89-9 / C89-12,1,12.7305,417.648404,-0.0598767202,yes
80 m,C89-9 / C89-12,1,12.732125,417.645633,-0.0599343406,yes
80 m,C89-9 / C89-12,1,12.73375,417.643109,-0.0599868421,yes
80 m,C89-9 / C89-12,1,12.735375,417.64083,-0.0600342248,yes
80 m,C89-9 / C89-12,1,12.737,417.638798,-0.0600764889,yes
80 m,C89-9 / C89-12,1,12.738625,417.637012,-0.0601136346,yes
80 m,C89-9 / C89-12,1,12.74025,417.635472,-0.0601456619,yes
80 m,C89-9 / C89-12,1,12.741875,417.634178,-0.0601725712,yes
80 m,C89-9 / C89-12,1,12.7435,417.633131,-0.0601943624,yes
80 m,C89-9 / C89-12,1,12.745125,417.632329,-0.0602110357,yes
80 m,C89-9 / C89-12,1,12.74675,417.631773,-0.0602225913,yes
80 m,C89-9 / C89-12,1,12.748375,417.631464,-0.0602290291,yes
80 m,C89-9 / C89-12,1,12.75,417.6314,-0.0602303494,yes
80 m,C89-9 / C89-12,1,12.751625,417.631583,-0.0602265522,yes
80 m,C89-9 / C89-12,1,12.75325,417.632012,-0.0602176377,yes
80 m,C89-9 / C89-12,1,12.754875,417.632686,-0.0602036057,yes
80 m,C89-9 / C89-12,1,12.7565,417.633607,-0.0601844565,yes
80 m,C89-9 / C89-12,1,12.758125,417.634774,-0.0601601902,yes
80 m,C89-9 / C89-12,1,12.75975,417.636187,-0.0601308066,yes
80 m,C89-9 / C89-12,1,12.761375,417.637845,-0.0600963059,yes
80 m,C89-9 / C89-12,1,12.763,417.63975,-0.0600566881,yes
80 m,C89-9 / C89-12,1,12.764625,417.641901,-0.0600119533,yes
80 m,C89-9 / C89-12,1,12.76625,417.644298,-0.0599621014,yes
80 m,C89-9 / C89-12,1,12.767875,417.646941,-0.0599071324,yes
80 m,C89-9 / C89-12,1,12.7695,417.649831,-0.0598470464,yes
80 m,C89-9 / C89-12,1,12.771125,417.652966,-0.0597818433,yes
80 m,C89-9 / C89-12,1,12.77275,417.656347,-0.0597115231,yes
80 m,C89-9 / C89-12,1,12.774375,417.659974,-0.0596360858,yes
80 m,C89-9 / C89-12,1,12.776,417.663848,-0.0595555314,yes
80 m,C89-9 / C89-12,1,12.777625,417.667967,-0.0594698597,yes
80 m,C89-9 / C89-12,1,12.77925,417.672333,-0.0593790708,yes
80 m,C89-9 / C89-12,1,12.780875,417.676945,-0.0592831645,yes
80 m,C89-9 / C89-12,1,12.7825,417.681803,-0.0591821409,yes
80 m,C89-9 / C89-12,1,12.784125,417.686907,-0.0590759997,yes
80 m,C89-9 / C89-12,1,12.78575,417.692257,-0.058964741,yes
80 m,C89-9 / C89-12,1,12.787375,417.697854,-0.0588483647,yes
80 m,C89-9 / C89-12,1,12.789,417.703696,-0.0587268705,yes
80 m,C89-9 / C89-12,1,12.790625,417.709785,-0.0586002585,yes
80 m,C89-9 / C89-12,1,12.79225,417.71612,-0.0584685285,yes
80 m,C89-9 / C89-12,1,12.793875,417.722701,-0.0583316803,yes
80 m,C89-9 / C89-12,1,12.7955,417.729529,-0.0581897139,yes
80 m,C89-9 / C89-12,1,12.797125,417.736603,-0.058042629,yes
80 m,C89-9 / C89-12,1,12.79875,417.743923,-0.0578904255,yes
80 m,C89-9 / C89-12,1,12.800375,417.751489,-0.0577331033,yes
80 m,C89-9 / C89-12,1,12.802,417.759302,-0.0575706622,yes
80 m,C89-9 / C89-12,1,12.803625,417.767361,-0.0574031019,yes
80 m,C89-9 / C89-12,1,12.80525,417.775667,-0.0572304223,yes
80 m,C89-9 / C89-12,1,12.806875,417.784218,-0.0570526233,yes
80 m,C89-9 / C89-12,1,12.8085,417.793017,-0.0568697046,yes
80 m,C89-9 / C89-12,1,12.810125,417.802062,-0.0566816659,yes
80 m,C89-9 / C89-12,1,12.81175,417.811353,-0.0564885071,yes
80 m,C89-9 / C89-12,1,12.813375,417.820891,-0.0562902279,yes
80 m,C89-9 / C89-12,1,12.815,417.830675,-0.056086828,yes
80 m,C89-9 / C89-12,1,12.816625,417.840706,-0.0558783074,yes
80 m,C89-9 / C89-12,1,12.81825,417.850983,-0.0556646655,yes
80 m,C89-9 / C89-12,1,12.819875,417.861508,-0.0554459023,yes
80 m,C89-9 / C89-12,1,12.8215,417.872278,-0.0552220174,yes
80 m,C89-9 / C89-12,1,12.823125,417.883296,-0.0549930105,yes
80 m,C89-9 / C89-12,1,12.82475,417.89456,-0.0547588814,yes
80 m,C89-9 / C89-12,1,12.826375,417.906071,-0.0545196297,yes
80 m,C89-9 / C89-12,1,12.828,417.917829,-0.0542752552,yes
80 m,C89-9 / C89-12,1,12.829625,417.929834,-0.0540257575,yes
80 m,C89-9 / C89-12,1,12.83125,417.942085,-0.0537711363,yes
80 m,C89-9 / C89-12,1,12.832875,417.954584,-0.0535113912,yes
80 m,C89-9 / C89-12,1,12.8345,417.967329,-0.0532465219,yes
80 m,C89-9 / C89-12,1,12.836125,417.980321,-0.0529765281,yes
80 m,C89-9 / C89-12,1,12.83775,417.993561,-0.0527014094,yes
80 m,C89-9 / C89-12,1,12.839375,418.007047,-0.0524211654,yes
80 m,C89-9 / C89-12,1,12.841,418.020781,-0.0521357958,yes
80 m,C89-9 / C89-12,1,12.842625,418.034762,-0.0518453001,yes
80 m,C89-9 / C89-12,1,12.84425,418.048989,-0.051549678,yes
80 m,C89-9 / C89-12,1,12.845875,418.063465,-0.0512489291,yes
80 m,C89-9 / C89-12,1,12.8475,418.078187,-0.0509430529,yes
80 m,C89-9 / C89-12,1,12.849125,418.093157,-0.050632049,yes
80 m,C89-9 / C89-12,1,12.85075,418.108374,-0.0503159171,yes
80 m,C89-9 / C89-12,1,12.852375,418.123839,-0.0499946566,yes
80 m,C89-9 / C89-12,1,12.854,418.139551,-0.0496682672,yes
80 m,C89-9 / C89-12,1,12.855625,418.155511,-0.0493367483,yes
80 m,C89-9 / C89-12,1,12.85725,418.171718,-0.0490000995,yes
80 m,C89-9 / C89-12,1,12.858875,418.188173,-0.0486583203,yes
80 m,C89-9 / C89-12,1,12.8605,418.204875,-0.0483114103,yes
80 m,C89-9 / C89-12,1,12.862125,418.221826,-0.047959369,yes
80 m,C89-9 / C89-12,1,12.86375,418.239024,-0.0476021958,yes
80 m,C89-9 / C89-12,1,12.865375,418.25647,-0.0472398903,yes
80 m,C89-9 / C89-12,1,12.867,418.274163,-0.0468724519,yes
80 m,C89-9 / C89-12,1,12.868625,418.292105,-0.0464998802,yes
80 m,C89-9 / C89-12,1,12.87025,418.310295,-0.0461221745,yes
80 m,C89-9 / C89-12,1,12.871875,418.328733,-0.0457393344,yes
80 m,C89-9 / C89-12,1,12.8735,418.347419,-0.0453513593,yes
80 m,C89-9 / C89-12,1,12.875125,418.366353,-0.0449582487,yes
80 m,C89-9 / C89-12,1,12.87675,418.385536,-0.0445600019,yes
80 m,C89-9 / C89-12,1,12.878375,418.404966,-0.0441566184,yes
80 m,C89-9 / C89-12,1,12.88,418.424646,-0.0437480977,yes
80 m,C89-9 / C89-12,1,12.881625,418.444573,-0.0433344391,yes
80 m,C89-9 / C89-12,1,12.88325,418.464749,-0.042915642,yes
80 m,C89-9 / C89-12,1,12.884875,418.485174,-0.0424917059,yes
80 m,C89-9 / C89-12,1,12.8865,418.505847,-0.0420626301,yes
80 m,C89-9 / C89-12,1,12.888125,418.526769,-0.041628414,yes
80 m,C89-9 / C89-12,1,12.88975,418.54794,-0.0411890569,yes
80 m,C89-9 / C89-12,1,12.891375,418.56936,-0.0407445582,yes
80 m,C89-9 / C89-12,1,12.893,418.591028,-0.0402949173,yes
80 m,C89-9 / C89-12,1,12.894625,418.612946,-0.0398401335,yes
80 m,C89-9 / C89-12,1,12.89625,418.635113,-0.0393802061,yes
80 m,C89-9 / C89-12,1,12.897875,418.657528,-0.0389151345,yes
80 m,C89-9 / C89-12,1,12.8995,418.680193,-0.038444918,yes
80 m,C89-9 / C89-12,1,12.901125,418.703107,-0.0379695558,yes
80 m,C89-9 / C89-12,1,12.90275,418.726271,-0.0374890473,yes
80 m,C89-9 / C89-12,1,12.904375,418.749684,-0.0370033918,yes
80 m,C89-9 / C89-12,1,12.906,418.773346,-0.0365125885,yes
80 m,C89-9 / C89-12,1,12.907625,418.797258,-0.0360166368,yes
80 m,C89-9 / C89-12,1,12.90925,418.82142,-0.0355155358,yes
80 m,C89-9 / C89-12,1,12.910875,418.845832,-0.0350092849,yes
80 m,C89-9 / C89-12,1,12.9125,418.870493,-0.0344978832,yes
80 m,C89-9 / C89-12,1,12.914125,418.895404,-0.0339813301,yes
80 m,C89-9 / C89-12,1,12.91575,418.920565,-0.0334596248,yes
80 m,C89-9 / C89-12,1,12.917375,418.945976,-0.0329327664,yes
80 m,C89-9 / C89-12,1,12.919,418.971637,-0.0324007542,yes
80 m,C89-9 / C89-12,1,12.920625,418.997549,-0.0318635874,yes
80 m,C89-9 / C89-12,1,12.92225,419.023711,-0.0313212651,yes
80 m,C89-9 / C89-12,1,12.923875,419.050123,-0.0307737867,yes
80 m,C89-9 / C89-12,1,12.9255,419.076786,-0.0302211512,yes
80 m,C89-9 / C89-12,1,12.927125,419.103699,-0.0296633578,yes
80 m,C89-9 / C89-12,1,12.92875,419.130863,-0.0291004057,yes
80 m,C89-9 / C89-12,1,12.930375,419.158278,-0.0285322941,yes
80 m,C89-9 / C89-12,1,12.932,419.185943,-0.027959022,yes
80 m,C89-9 / C89-12,1,12.933625,419.21386,-0.0273805886,yes
80 m,C89-9 / C89-12,1,12.93525,419.242027,-0.026796993,yes
80 m,C89-9 / C89-12,1,12.936875,419.270446,-0.0262082345,yes
80 m,C89-9 / C89-12,1,12.9385,419.299116,-0.0256143119,yes
80 m,C89-9 / C89-12,1,12.940125,419.328037,-0.0250152246,yes
80 m,C89-9 / C89-12,1,12.94175,419.357209,-0.0244109715,yes
80 m,C89-9 / C89-12,1,12.943375,419.386633,-0.0238015517,yes
80 m,C89-9 / C89-12,1,12.945,419.416309,-0.0231869644,yes
80 m,C89-9 / C89-12,1,12.946625,419.446236,-0.0225672085,yes
80 m,C89-9 / C89-12,1,12.94825,419.476415,-0.0219422832,yes
80 m,C89-9 / C89-12,1,12.949875,419.506846,-0.0213121875,yes
80 m,C89-9 / C89-12,1,12.9515,419.537529,-0.0206769203,yes
80 m,C89-9 / C89-12,1,12.953125,419.568464,-0.0200364809,yes
80 m,C89-9 / C89-12,1,12.95475,419.599651,-0.0193908681,yes
80 m,C89-9 / C89-12,1,12.956375,419.631091,-0.018740081,yes
80 m,C89-9 / C89-12,1,12.958,419.662783,-0.0180841186,yes
80 m,C89-9 / C89-12,1,12.959625,419.694727,-0.01742298,yes
80 m,C89-9 / C89-12,1,12.96125,419.726924,-0.016756664,yes
80 m,C89-9 / C89-12,1,12.962875,419.759374,-0.0160851697,yes
80 m,C89-9 / C89-12,1,12.9645,419.792076,-0.015408496,yes
80 m,C89-9 / C89-12,1,12.966125,419.825032,-0.0147266419,yes
80 m,C89-9 / C89-12,1,12.96775,419.858241,-0.0140396063,yes
80 m,C89-9 / C89-12,1,12.969375,419.891702,-0.0133473883,yes
80 m,C89-9 / C89-12,1,12.971,419.925417,-0.0126499867,yes
80 m,C89-9 / C89-12,1,12.972625,419.959386,-0.0119474004,yes
80 m,C89-9 / C89-12,1,12.97425,419.993608,-0.0112396284,yes
80 m,C89-9 / C89-12,1,12.975875,420.028083,-0.0105266696,yes
80 m,C89-9 / C89-12,1,12.9775,420.062812,-0.00980852294,yes
80 m,C89-9 / C89-12,1,12.979125,420.097795,-0.00908518719,yes
80 m,C89-9 / C89-12,1,12.98075,420.133032,-0.00835666134,yes
80 m,C89-9 / C89-12,1,12.982375,420.168524,-0.00762294422,yes
80 m,C89-9 / C89-12,1,12.984,420.204269,-0.00688403471,yes
80 m,C89-9 / C89-12,1,12.985625,420.240269,-0.00613993165,yes
80 m,C89-9 / C89-12,1,12.98725,420.276523,-0.00539063392,yes
80 m,C89-9 / C89-12,1,12.988875,420.313031,-0.00463614034,yes
80 m,C89-9 / C89-12,1,12.9905,420.349794,-0.00387644975,yes
80 m,C89-9 / C89-12,1,12.992125,420.386813,-0.00311156094,yes
80 m,C89-9 / C89-12,1,12.99375,420.424086,-0.00234147278,yes
80 m,C89-9 / C89-12,1,12.995375,420.461614,-0.00156618402,yes
80 m,C89-9 / C89-12,1,12.997,420.499397,-0.000785693509,yes
80 m,C89-9 / C89-12,1,12.998625,420.537435,0,yes
80 m,C89-9 / C89-12,1,13.00025,420.575729,0.000790897734,no
80 m,C89-9 / C89-12,1,13.001875,420.614279,0.0015870009,no
80 m,C89-9 / C89-12,1,13.0035,420.653084,0.00238831075,no
80 m,C89-9 / C89-12,1,13.005125,420.692145,0.00319482853,no
80 m,C89-9 / C89-12,1,13.00675,420.731462,0.00400655548,no
80 m,C89-9 / C89-12,1,13.008375,420.771035,0.00482349288,no
80 m,C89-9 / C89-12,1,13.01,420.810865,0.00564564202,no
80 m,C89-9 / C89-12,1,13.011625,420.85095,0.00647300417,no
80 m,C89-9 / C89-12,1,13.01325,420.891292,0.00730558059,no
80 m,C89-9 / C89-12,1,13.014875,420.931891,0.00814337262,no
80 m,C89-9 / C89-12,1,13.0165,420.972747,0.00898638155,no
80 m,C89-9 / C89-12,1,13.018125,421.013859,0.00983460871,no
80 m,C89-9 / C89-12,1,13.01975,421.055229,0.0106880554,no
80 m,C89-9 / C89-12,1,13.021375,421.096855,0.011546723,no
80 m,C89-9 / C89-12,1,13.023,421.138739,0.0124106129,no
80 m,C89-9 / C89-12,1,13.024625,421.180881,0.0132797263,no
80 m,C89-9 / C89-12,1,13.02625,421.22328,0.0141540646,no
