r89_27_position,r89_27_wiper_percent,load_ohm,test_point,s5_pos,pto_mhz,crystal_mhz,difference_mhz,wanted_mhz,crystal_source_mvpp,out_wanted_mvpp,out_crystal_mvpp,out_pto_mvpp,out_difference_mvpp,raw_wanted_mvpp,raw_crystal_mvpp,raw_pto_mvpp,raw_difference_mvpp,out_total_mvpp,out_wanted_to_largest_unwanted_db,raw_wanted_to_largest_unwanted_db
0.15,15,50,20 MHz center,2,5.51,14.49,8.98,20,3.02215488,58.3658201,4.01502965,1.09896774,6.39049094,119.968577,22.9535081,10.1095396,49.3357166,67.5171417,19.2124874,7.71812133
0.15,15,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.83966021,61.8778502,7.21933912,1.11247367,8.07928915,88.8141292,36.0870068,10.1044541,58.8091514,75.9957276,17.6832413,3.58074298
0.2,20,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.10331619,108.24995,2.68024678,1.81365877,11.1940092,290.761728,16.4053286,17.7972231,86.443079,122.214948,19.7088409,10.5361403
0.2,20,50,20 MHz center,2,5.51,14.49,8.98,20,3.00510323,53.0807587,3.62861534,1.09634916,5.81793198,109.103815,20.7633786,10.0773513,44.9139871,61.3559334,19.2033696,7.70916653
0.2,20,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.82582471,56.2689456,6.50639818,1.10806828,7.35221391,80.7632569,32.5429447,10.0754035,53.5140395,69.0572983,17.6770129,3.57492179
0.25,25,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.08901062,98.7270387,2.43035721,1.81306669,10.2174017,265.176011,14.8928477,17.7488221,78.8961825,111.658801,19.7019128,10.5295649
0.25,25,50,20 MHz center,2,5.51,14.49,8.98,20,2.99193717,48.4058312,3.293541,1.09414372,5.30925032,99.4938475,18.8595884,10.0512307,40.9849699,55.9280797,19.1972896,7.7034321
0.25,25,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.81461294,51.2946001,5.89782624,1.10503328,6.7062386,73.6226687,29.5124306,10.0521859,48.8138409,62.9810068,17.6718529,3.56937149
0.3,30,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.07756234,90.1696019,2.20906944,1.81292559,9.33792972,242.185825,13.5497593,17.7097634,72.1011769,102.151474,19.696191,10.5241273
0.3,30,50,20 MHz center,2,5.51,14.49,8.98,20,2.98171869,44.2150658,2.99530821,1.09255808,4.85148684,90.8793403,17.1623994,10.0308127,37.450449,51.0709162,19.1939084,7.70016274
0.3,30,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.80591626,46.8364314,5.36309638,1.10203235,6.1259989,67.2236755,26.8454767,10.0316705,44.5878914,57.436851,17.6681377,3.56610639
0.35,35,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.06832532,82.3863028,2.01129981,1.81311736,8.53661725,221.276393,12.3458633,17.6778697,65.9109862,93.4767858,19.6913841,10.5195455
0.35,35,50,20 MHz center,2,5.51,14.49,8.98,20,2.97345972,40.40139,2.72871215,1.09111962,4.43437737,83.0398837,15.6414014,10.013735,34.2306515,46.6389086,19.1912732,7.69743134
0.35,35,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.79885715,42.7836705,4.87878181,1.10027046,5.59813175,61.4054347,24.4305819,10.0171299,40.7445051,52.4660677,17.6646985,3.56275527
0.4,40,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.06082115,75.2231307,1.83007028,1.81360099,7.79805357,202.033719,11.241278,17.6518011,60.2062476,85.5017962,19.6873038,10.5156459
0.4,40,50,20 MHz center,2,5.51,14.49,8.98,20,2.96655765,36.886748,2.48470639,1.09046582,4.05040468,75.8157979,14.2484566,10.0014678,31.2651705,42.5779855,19.1874391,7.69397817
0.4,40,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.79321357,39.056052,4.44000141,1.09836156,5.11179363,56.0540266,22.2405479,10.004421,37.2026469,47.9222345,17.6623005,3.56065951
0.45,45,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.05469237,68.5520205,1.66483587,1.81427618,7.10932096,184.113479,10.2309312,17.6303118,54.8870242,78.0706125,19.6838428,10.512318
0.45,45,50,20 MHz center,2,5.51,14.49,8.98,20,2.96102272,33.6158265,2.25748557,1.08964412,3.69217566,69.092291,12.9510392,9.99025652,28.49966,38.8116961,19.1852288,7.6917983
0.45,45,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.78820412,35.5775185,4.03008661,1.09664436,4.6581655,51.062554,20.1877723,9.99266952,33.9038068,43.6465393,17.6592148,3.55708138
0.5,50,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.04966283,62.2667428,1.50813226,1.81519464,6.45972192,167.230233,9.27265536,17.6128828,49.8705233,71.0597858,19.6808465,10.5094174
0.5,50,50,20 MHz center,2,5.51,14.49,8.98,20,2.95641655,30.5324107,2.04651225,1.08899741,3.3543499,62.7542637,11.744427,9.98108314,25.8915278,35.2493795,19.1830547,7.68971121
0.5,50,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.78446508,32.3110823,3.65568577,1.09525345,4.23128416,46.3732528,18.3174816,9.98453192,30.7949983,39.6014413,17.6575863,3.55574752
0.55,55,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.04552406,56.2702156,1.35998727,1.81625533,5.83932245,151.122883,8.36541346,17.5985066,45.079896,64.3738717,19.6783224,10.5069465
0.55,55,50,20 MHz center,2,5.51,14.49,8.98,20,2.95255877,27.5900915,1.84636914,1.0884788,3.03179526,56.706332,10.598383,9.97361295,23.4012939,31.9547394,19.1810654,7.68783372
0.55,55,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.78139925,29.1974539,3.29306819,1.09429555,3.82408034,41.9045858,16.5026247,9.97797301,27.8308738,35.7935402,17.6563595,3.55469421
0.6,60,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.04211434,50.4770425,1.21710177,1.81752137,5.2394745,135.562126,7.48971822,17.5870396,40.4483073,57.9202052,19.6761234,10.5047604
0.6,60,50,20 MHz center,2,5.51,14.49,8.98,20,2.9494414,24.7493442,1.65179216,1.08810045,2.71997099,50.8671707,9.48524352,9.96752267,20.9943359,28.7734901,19.1799884,7.68670884
0.6,60,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.77891185,26.1902832,2.94699303,1.0932025,3.43021693,37.5876368,14.7727218,9.97236688,24.9656525,32.149875,17.6563722,3.55404199
0.65,65,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.03930679,44.8040298,1.07802556,1.81898502,4.65167336,120.324485,6.63620092,17.5781246,35.9100358,51.6018608,19.6741573,10.5027635
0.65,65,50,20 MHz center,2,5.51,14.49,8.98,20,2.94679993,21.9661852,1.46352589,1.08784809,2.41445673,45.1465422,8.40589813,9.96282067,18.6362032,25.6376834,19.1787043,7.68534111
0.65,65,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.77670293,23.2428875,2.61309148,1.09237835,3.04482365,33.3573122,13.1000022,9.96744918,22.1592068,28.5262737,17.6545587,3.55273677
0.7,70,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.03700506,39.167725,0.94086422,1.82064863,4.06729918,105.185656,5.79337231,17.5714763,31.3984663,45.3245649,19.6724445,10.5009617
0.7,70,50,20 MHz center,2,5.51,14.49,8.98,20,2.94459828,19.2011202,1.27766897,1.08761245,2.1107319,39.4629111,7.33966466,9.95881466,16.2921236,22.56006,19.1778699,7.68422849
0.7,70,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.77487406,20.3154444,2.27844167,1.09151662,2.66175941,29.1552961,11.4241466,9.9634056,19.3704239,24.921838,17.6531506,3.55156663
0.75,75,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.03513443,33.4800218,0.802979967,1.82254081,3.47726322,89.9090069,4.94539006,17.5670253,26.8434166,38.9907954,19.6709633,10.4993082
0.75,75,50,20 MHz center,2,5.51,14.49,8.98,20,2.94296609,16.4136131,1.09129679,1.08769803,1.80432729,33.7334615,6.2694911,9.9568636,13.9269752,19.4322797,19.1777775,7.68408213
0.75,75,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.77336291,17.3632286,1.94341109,1.09096496,2.27513288,24.9177185,9.74688613,9.96094421,16.5570732,21.275618,17.6524743,3.55049412
0.8,80,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.03363812,27.6428939,0.662145983,1.82471048,2.8714483,74.2312845,4.07844774,17.5649016,22.1667915,32.4922371,19.6696501,10.4976828
0.8,80,50,20 MHz center,2,5.51,14.49,8.98,20,2.94122263,13.5486832,0.899752223,1.087791,1.48965015,27.8447712,5.1696429,9.9554911,11.4980641,16.2174086,19.176256,7.68237858
0.8,80,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.77270295,14.3400313,1.60448825,1.09087713,1.8781187,20.5780997,8.04697887,9.95988106,13.6700302,17.5969607,17.6565412,3.55271585
0.85,85,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.03248024,21.5416435,0.515562173,1.82724222,2.23794476,57.8442834,3.17542023,17.5653337,17.2765733,25.702063,19.6685895,10.3520808
0.85,85,50,20 MHz center,2,5.51,14.49,8.98,20,2.94033133,10.5594432,0.700578676,1.088083,1.16067555,21.7006511,4.0251886,9.95575276,8.95911024,12.8637701,19.1786037,6.76797323
0.85,85,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.77154781,11.1729016,1.24604632,1.09018736,1.46372763,16.0317697,6.2524156,9.95923459,10.6522526,13.7679197,17.6541141,3.55080018
0.9,90,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.03163881,15.0341123,0.359510424,1.83024069,1.56202485,40.3662178,2.21365363,17.5687715,12.0590882,18.4632391,18.2913917,7.22553331
0.9,90,50,20 MHz center,2,5.51,14.49,8.98,20,2.93956146,7.36953848,0.488130086,1.08847055,0.809734087,15.14399,2.80464345,9.95729699,6.2502651,9.30417073,16.6124722,3.64197706
0.9,90,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.77065674,7.7969161,0.867568062,1.08987201,1.02135312,11.1847472,4.35455286,9.95973896,7.43252136,9.92927673,17.0909473,1.00756431
0.95,95,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.03116744,7.93660787,0.189627346,1.83385953,0.824615544,21.3036725,1.16628948,17.576071,6.36708757,10.5871211,12.7253771,1.67065356
0.95,95,50,20 MHz center,2,5.51,14.49,8.98,20,2.94648647,3.90925577,0.257395195,1.08955874,0.427253923,8.03130197,1.47860976,9.96457227,3.29840433,5.41449391,11.0968688,-1.87345411
0.95,95,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.76959723,4.1146341,0.4568621,1.08986814,0.538661074,5.89971168,2.29210321,9.96204184,3.92073277,5.75324992,11.5391453,-4.55035147
1,100,50,19 MHz low edge,1,5.01,13.99,8.98,19,3.03092563,0.00231711169,0.000674186153,1.83838647,0.00212876048,0.0159625299,0.010549393,17.5886514,0.031470946,1.85655953,-57.989797,-60.8426164
1,100,50,20 MHz center,2,5.51,14.49,8.98,20,2.94631572,0.000743054488,0.00210323869,1.09063315,0.00171068,0.00478877025,0.0132295274,9.97110915,0.0104168618,1.08073285,-63.3331606,-66.3703894
1,100,50,21 MHz high edge,4,5.51,15.49,9.98,21,2.77793264,0.000643785756,0.00343385552,1.09062907,0.00122930481,0.00448651078,0.0184794189,9.97109897,0.00607945231,1.08197674,-64.5787141,-66.9366862
